--------- beginning of main
12-08 13:13:11.265 E/AndroidRuntime(16019): 	Suppressed: kotlinx.coroutines.internal.DiagnosticCoroutineContextException: [StandaloneCoroutine{Cancelling}@94ccab1, Dispatchers.Main.immediate]
12-08 13:15:08.436 W/System.err(25928): android.content.pm.PackageManager$NameNotFoundException: com.example.gestaobilhares
12-08 13:15:08.436 W/System.err(25928): 	at android.app.ApplicationPackageManager.getPackageInfoAsUser(ApplicationPackageManager.java:293)
12-08 13:15:08.437 W/System.err(25928): 	at android.app.ApplicationPackageManager.getPackageInfo(ApplicationPackageManager.java:265)
12-08 13:15:08.437 W/System.err(25928): 	at com.sec.android.diagmonagent.sa.datalogging.monitor.AppInstallationMonitor$AppInstallationBroadcastReceiver.a(:11)
12-08 13:15:08.437 W/System.err(25928): 	at com.sec.android.diagmonagent.sa.datalogging.monitor.AppInstallationMonitor$AppInstallationBroadcastReceiver.b(:1)
12-08 13:15:08.437 W/System.err(25928): 	at com.sec.android.diagmonagent.sa.datalogging.monitor.AppInstallationMonitor$AppInstallationBroadcastReceiver.c(Unknown Source:0)
12-08 13:15:08.437 W/System.err(25928): 	at com.sec.android.diagmonagent.sa.datalogging.monitor.a.run(Unknown Source:6)
12-08 13:15:08.437 W/System.err(25928): 	at android.os.Handler.handleCallback(Handler.java:938)
12-08 13:15:08.437 W/System.err(25928): 	at android.os.Handler.dispatchMessage(Handler.java:99)
12-08 13:15:08.437 W/System.err(25928): 	at android.os.Looper.loopOnce(Looper.java:226)
12-08 13:15:08.437 W/System.err(25928): 	at android.os.Looper.loop(Looper.java:313)
12-08 13:15:08.437 W/System.err(25928): 	at android.os.HandlerThread.run(HandlerThread.java:67)
12-08 13:17:39.144 W/System.err( 1364): android.content.pm.PackageManager$NameNotFoundException: com.example.gestaobilhares
12-08 13:17:39.394 W/System.err( 1364): 	at android.app.ApplicationPackageManager.getApplicationInfoAsUser(ApplicationPackageManager.java:540)
12-08 13:17:39.394 W/System.err( 1364): 	at com.android.server.ipm.auf.IpmAufPreloadController.preloadApp(IpmAufPreloadController.java:136)
12-08 13:17:39.394 W/System.err( 1364): 	at com.android.server.ipm.auf.IpmAufPreloadController.handleMessageEvent(IpmAufPreloadController.java:190)
12-08 13:17:39.394 W/System.err( 1364): 	at com.android.server.ipm.PreloadController$MainHandler.handleMessage(PreloadController.java:231)
12-08 13:17:39.394 W/System.err( 1364): 	at android.os.Handler.dispatchMessage(Handler.java:106)
12-08 13:17:39.394 W/System.err( 1364): 	at android.os.Looper.loopOnce(Looper.java:226)
12-08 13:17:39.394 W/System.err( 1364): 	at android.os.Looper.loop(Looper.java:313)
12-08 13:17:39.394 W/System.err( 1364): 	at android.os.HandlerThread.run(HandlerThread.java:67)
12-08 13:17:39.913 W/System.err(17841): com.samsung.android.scloud.common.exception.SCException: [rcode] 80000000, [rmsg]: SDK is not set up. please check if Scsp.setUp has been called., ResultCode: 100
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.common.exception.ExceptionHandler.handle(Unknown Source:27)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.common.exception.ExceptionHandler.commit(Unknown Source:204)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.keystore.c.a(Unknown Source:195)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.keystore.KeyStoreProvider.lambda$onCreate$2(Unknown Source:96)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.keystore.KeyStoreProvider.d(Unknown Source:0)
12-08 13:17:39.913 W/System.err(17841): 	at A8.a.apply(Unknown Source:180)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.common.exception.ExceptionHandler.commit(Unknown Source:27)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.common.exception.ExceptionHandler.apply(Unknown Source:0)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.keystore.KeyStoreProvider.lambda$onCreate$3(Unknown Source:11)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.keystore.KeyStoreProvider.e(Unknown Source:0)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.backup.core.logic.worker.g.run(Unknown Source:293)
12-08 13:17:39.913 W/System.err(17841): 	at java.lang.Thread.run(Thread.java:1119)
12-08 13:17:39.913 W/System.err(17841): Caused by: [rcode] 80000000, [rmsg]: SDK is not set up. please check if Scsp.setUp has been called.
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.scsp.framework.core.identity.ScspIdentityFactory.checkContext(Unknown Source:14)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.scsp.framework.core.identity.ScspIdentityFactory.getInstance(Unknown Source:0)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.scsp.framework.core.decorator.AbstractDecorator.<init>(Unknown Source:130)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.scsp.internal.certificate.SamsungCloudCertificate.<init>(Unknown Source:5)
12-08 13:17:39.913 W/System.err(17841): 	at J.h.get(Unknown Source:20)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.backup.method.oem.f.get(Unknown Source:130)
12-08 13:17:39.913 W/System.err(17841): 	at com.samsung.android.scloud.common.exception.ExceptionHandler.commit(Unknown Source:4)
12-08 13:17:39.913 W/System.err(17841): 	... 10 more
12-08 13:17:40.407 W/System.err(17841): java.lang.ExceptionInInitializerError
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryDatabase.getInstance(Unknown Source:0)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoverySettings$Static.<clinit>(Unknown Source:0)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoverySettings.getSettingValue(Unknown Source:0)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoverySettings.isRecoveryInProcessing(Unknown Source:4)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryManager.verifyState(Unknown Source:15)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryManager.recover(Unknown Source:21)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryService.lambda$onStartJob$0(Unknown Source:2)
12-08 13:17:40.408 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryService.c(Unknown Source:0)
12-08 13:17:40.409 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.c.run(Unknown Source:49)
12-08 13:17:40.409 W/System.err(17841): 	at com.samsung.scsp.error.FaultBarrier.run(SourceFile:2)
12-08 13:17:40.409 W/System.err(17841): 	at com.samsung.scsp.error.FaultBarrier.run(SourceFile:1)
12-08 13:17:40.409 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryService.lambda$onStartJob$2(Unknown Source:6)
12-08 13:17:40.409 W/System.err(17841): 	at com.samsung.android.scloud.galleryproxy.mediarecovery.MediaRecoveryService.a(Unknown Source:0)
12-08 13:17:40.409 W/System.err(17841): 	at G2.h.run(Unknown Source:193)
